"小選挙区","都道府県名","市区町村名","選挙区","政党名","候補者名","得票数"
"北海道第４区","北海道","島牧村","第４区","日本共産党","佐々木　あけみ","33"
"北海道第４区","北海道","寿都町","第４区","日本共産党","佐々木　あけみ","107"
"北海道第４区","北海道","黒松内町","第４区","日本共産党","佐々木　あけみ","148"
"北海道第４区","北海道","蘭越町","第４区","日本共産党","佐々木　あけみ","150"
"北海道第４区","北海道","ニセコ町","第４区","日本共産党","佐々木　あけみ","188"
"北海道第４区","北海道","真狩村","第４区","日本共産党","佐々木　あけみ","46"
"北海道第４区","北海道","留寿都村","第４区","日本共産党","佐々木　あけみ","34"
"北海道第４区","北海道","喜茂別町","第４区","日本共産党","佐々木　あけみ","46"
"北海道第４区","北海道","京極町","第４区","日本共産党","佐々木　あけみ","41"
"北海道第４区","北海道","倶知安町","第４区","日本共産党","佐々木　あけみ","388"
"北海道第４区","北海道","共和町","第４区","日本共産党","佐々木　あけみ","89"
"北海道第４区","北海道","岩内町","第４区","日本共産党","佐々木　あけみ","319"
"北海道第４区","北海道","泊村","第４区","日本共産党","佐々木　あけみ","28"
"北海道第４区","北海道","神恵内村","第４区","日本共産党","佐々木　あけみ","13"
"北海道第４区","北海道","積丹町","第４区","日本共産党","佐々木　あけみ","28"
"北海道第４区","北海道","古平町","第４区","日本共産党","佐々木　あけみ","70"
"北海道第４区","北海道","仁木町","第４区","日本共産党","佐々木　あけみ","120"
"北海道第４区","北海道","余市町","第４区","日本共産党","佐々木　あけみ","480"
"北海道第４区","北海道","赤井川村","第４区","日本共産党","佐々木　あけみ","41"
"北海道第４区","北海道","札幌市西区","第４区","自由民主党","中村　ひろゆき","14687"
"北海道第４区","北海道","札幌市手稲区","第４区","自由民主党","中村　ひろゆき","25946"
"北海道第４区","北海道","小樽市","第４区","自由民主党","中村　ひろゆき","19632"
"北海道第４区","北海道","石狩市","第４区","自由民主党","中村　ひろゆき","9682"
"北海道第４区","北海道","島牧村","第４区","自由民主党","中村　ひろゆき","440"
"北海道第４区","北海道","寿都町","第４区","自由民主党","中村　ひろゆき","842"
"北海道第４区","北海道","黒松内町","第４区","自由民主党","中村　ひろゆき","708"
"北海道第４区","北海道","蘭越町","第４区","自由民主党","中村　ひろゆき","1231"
"北海道第４区","北海道","ニセコ町","第４区","自由民主党","中村　ひろゆき","1054"
"北海道第４区","北海道","真狩村","第４区","自由民主党","中村　ひろゆき","639"
"北海道第４区","北海道","留寿都村","第４区","自由民主党","中村　ひろゆき","460"
"北海道第４区","北海道","喜茂別町","第４区","自由民主党","中村　ひろゆき","498"
"北海道第４区","北海道","京極町","第４区","自由民主党","中村　ひろゆき","936"
"北海道第４区","北海道","倶知安町","第４区","自由民主党","中村　ひろゆき","3526"
"北海道第４区","北海道","共和町","第４区","自由民主党","中村　ひろゆき","1820"
"北海道第４区","北海道","岩内町","第４区","自由民主党","中村　ひろゆき","3308"
"北海道第４区","北海道","泊村","第４区","自由民主党","中村　ひろゆき","610"
"北海道第４区","北海道","神恵内村","第４区","自由民主党","中村　ひろゆき","358"
"北海道第４区","北海道","積丹町","第４区","自由民主党","中村　ひろゆき","600"
"北海道第４区","北海道","古平町","第４区","自由民主党","中村　ひろゆき","912"
"北海道第４区","北海道","仁木町","第４区","自由民主党","中村　ひろゆき","908"
"北海道第４区","北海道","余市町","第４区","自由民主党","中村　ひろゆき","5013"
"北海道第４区","北海道","赤井川村","第４区","自由民主党","中村　ひろゆき","280"
"北海道第４区","北海道","札幌市西区","第４区","立憲民主党","おおつき　くれは","18642"
"北海道第４区","北海道","札幌市手稲区","第４区","立憲民主党","おおつき　くれは","33120"
"北海道第４区","北海道","小樽市","第４区","立憲民主党","おおつき　くれは","22772"
"北海道第４区","北海道","石狩市","第４区","立憲民主党","おおつき　くれは","11084"
"北海道第４区","北海道","島牧村","第４区","立憲民主党","おおつき　くれは","272"
"北海道第４区","北海道","寿都町","第４区","立憲民主党","おおつき　くれは","518"
"北海道第４区","北海道","黒松内町","第４区","立憲民主党","おおつき　くれは","565"
"北海道第４区","北海道","蘭越町","第４区","立憲民主党","おおつき　くれは","1056"
"北海道第４区","北海道","ニセコ町","第４区","立憲民主党","おおつき　くれは","1035"
"北海道第４区","北海道","真狩村","第４区","立憲民主党","おおつき　くれは","432"
"北海道第４区","北海道","留寿都村","第４区","立憲民主党","おおつき　くれは","307"
"北海道第４区","北海道","喜茂別町","第４区","立憲民主党","おおつき　くれは","486"
"北海道第４区","北海道","京極町","第４区","立憲民主党","おおつき　くれは","567"
"北海道第４区","北海道","倶知安町","第４区","立憲民主党","おおつき　くれは","2705"
"北海道第４区","北海道","共和町","第４区","立憲民主党","おおつき　くれは","1089"
"北海道第４区","北海道","岩内町","第４区","立憲民主党","おおつき　くれは","1823"
"北海道第４区","北海道","泊村","第４区","立憲民主党","おおつき　くれは","234"
"北海道第４区","北海道","神恵内村","第４区","立憲民主党","おおつき　くれは","141"
"北海道第４区","北海道","積丹町","第４区","立憲民主党","おおつき　くれは","361"
"北海道第４区","北海道","古平町","第４区","立憲民主党","おおつき　くれは","376"
"北海道第４区","北海道","仁木町","第４区","立憲民主党","おおつき　くれは","615"
"北海道第４区","北海道","余市町","第４区","立憲民主党","おおつき　くれは","3027"
"北海道第４区","北海道","赤井川村","第４区","立憲民主党","おおつき　くれは","257"
"北海道第４区","北海道","札幌市西区","第４区",NA,"さいとう　佳代","2183"
"北海道第４区","北海道","札幌市手稲区","第４区",NA,"さいとう　佳代","3003"
"北海道第４区","北海道","小樽市","第４区",NA,"さいとう　佳代","1916"
"北海道第４区","北海道","石狩市","第４区",NA,"さいとう　佳代","1662"
"北海道第４区","北海道","島牧村","第４区",NA,"さいとう　佳代","  17"
"北海道第４区","北海道","寿都町","第４区",NA,"さいとう　佳代","  45"
"北海道第４区","北海道","黒松内町","第４区",NA,"さいとう　佳代","  64"
"北海道第４区","北海道","蘭越町","第４区",NA,"さいとう　佳代","  94"
"北海道第４区","北海道","ニセコ町","第４区",NA,"さいとう　佳代"," 110"
"北海道第４区","北海道","真狩村","第４区",NA,"さいとう　佳代","  51"
"北海道第４区","北海道","留寿都村","第４区",NA,"さいとう　佳代","  33"
"北海道第４区","北海道","喜茂別町","第４区",NA,"さいとう　佳代","  52"
"北海道第４区","北海道","京極町","第４区",NA,"さいとう　佳代","  58"
"北海道第４区","北海道","倶知安町","第４区",NA,"さいとう　佳代"," 343"
"北海道第４区","北海道","共和町","第４区",NA,"さいとう　佳代","  95"
"北海道第４区","北海道","岩内町","第４区",NA,"さいとう　佳代"," 191"
"北海道第４区","北海道","泊村","第４区",NA,"さいとう　佳代","  25"
"北海道第４区","北海道","神恵内村","第４区",NA,"さいとう　佳代","  16"
"北海道第４区","北海道","積丹町","第４区",NA,"さいとう　佳代","  31"
"北海道第４区","北海道","古平町","第４区",NA,"さいとう　佳代","  50"
"北海道第４区","北海道","仁木町","第４区",NA,"さいとう　佳代","  62"
"北海道第４区","北海道","余市町","第４区",NA,"さいとう　佳代"," 205"
"北海道第４区","北海道","赤井川村","第４区",NA,"さいとう　佳代","  16"
"北海道第５区","北海道","札幌市白石区","第５区","自由民主党","和田　よしあき","2946"
"北海道第５区","北海道","札幌市厚別区","第５区","自由民主党","和田　よしあき","22870"
"北海道第５区","北海道","江別市","第５区","自由民主党","和田　よしあき","22373"
"北海道第５区","北海道","千歳市","第５区","自由民主党","和田　よしあき","21643"
"北海道第５区","北海道","恵庭市","第５区","自由民主党","和田　よしあき","15961"
"北海道第５区","北海道","北広島市","第５区","自由民主党","和田　よしあき","10590"
"北海道第５区","北海道","当別町","第５区","自由民主党","和田　よしあき","3498"
"北海道第５区","北海道","新篠津村","第５区","自由民主党","和田　よしあき","1012"
"北海道第５区","北海道","札幌市白石区","第５区","立憲民主党","池田　まき","4381"
"北海道第５区","北海道","札幌市厚別区","第５区","立憲民主党","池田　まき","36376"
"北海道第５区","北海道","江別市","第５区","立憲民主党","池田　まき","31934"
"北海道第５区","北海道","千歳市","第５区","立憲民主党","池田　まき","17150"
"北海道第５区","北海道","恵庭市","第５区","立憲民主党","池田　まき","15329"
"北海道第５区","北海道","北広島市","第５区","立憲民主党","池田　まき","15879"
"北海道第５区","北海道","当別町","第５区","立憲民主党","池田　まき","3853"
"北海道第５区","北海道","新篠津村","第５区","立憲民主党","池田　まき","542"
"北海道第５区","北海道","札幌市白石区","第５区","日本共産党","鈴木　りゅうじ","816"
"北海道第５区","北海道","札幌市厚別区","第５区","日本共産党","鈴木　りゅうじ","5038"
"北海道第５区","北海道","江別市","第５区","日本共産党","鈴木　りゅうじ","3922"
"北海道第５区","北海道","千歳市","第５区","日本共産党","鈴木　りゅうじ","2184"
"北海道第５区","北海道","恵庭市","第５区","日本共産党","鈴木　りゅうじ","1770"
"北海道第５区","北海道","北広島市","第５区","日本共産党","鈴木　りゅうじ","1945"
"北海道第５区","北海道","当別町","第５区","日本共産党","鈴木　りゅうじ","612"
"北海道第５区","北海道","新篠津村","第５区","日本共産党","鈴木　りゅうじ","112"
"北海道第６区","北海道","旭川市","第６区","日本共産党","おぎう　和敏","14923"
"北海道第６区","北海道","士別市","第６区","日本共産党","おぎう　和敏","484"
"北海道第６区","北海道","名寄市","第６区","日本共産党","おぎう　和敏","710"
"北海道第６区","北海道","富良野市","第６区","日本共産党","おぎう　和敏","546"
"北海道第６区","北海道","鷹栖町","第６区","日本共産党","おぎう　和敏","255"
"北海道第６区","北海道","東神楽町","第６区","日本共産党","おぎう　和敏","409"
"北海道第６区","北海道","当麻町","第６区","日本共産党","おぎう　和敏","255"
"北海道第６区","北海道","比布町","第６区","日本共産党","おぎう　和敏","150"
"北海道第６区","北海道","愛別町","第６区","日本共産党","おぎう　和敏","75"
"北海道第６区","北海道","上川町","第６区","日本共産党","おぎう　和敏","132"
"北海道第６区","北海道","東川町","第６区","日本共産党","おぎう　和敏","482"
"北海道第６区","北海道","美瑛町","第６区","日本共産党","おぎう　和敏","413"
"北海道第６区","北海道","上富良野町","第６区","日本共産党","おぎう　和敏","297"
"北海道第６区","北海道","中富良野町","第６区","日本共産党","おぎう　和敏","150"
"北海道第６区","北海道","南富良野町","第６区","日本共産党","おぎう　和敏","62"
"北海道第６区","北海道","占冠村","第６区","日本共産党","おぎう　和敏","29"
"北海道第６区","北海道","和寒町","第６区","日本共産党","おぎう　和敏","105"
"北海道第６区","北海道","剣淵町","第６区","日本共産党","おぎう　和敏","116"
"北海道第６区","北海道","下川町","第６区","日本共産党","おぎう　和敏","95"
"北海道第６区","北海道","美深町","第６区","日本共産党","おぎう　和敏","121"
"北海道第６区","北海道","音威子府村","第６区","日本共産党","おぎう　和敏","19"
"北海道第６区","北海道","中川町","第６区","日本共産党","おぎう　和敏","34"
"北海道第６区","北海道","幌加内町","第６区","日本共産党","おぎう　和敏","47"
"北海道第６区","北海道","旭川市","第６区","立憲民主党","にしかわ　将人","61573"
"北海道第６区","北海道","士別市","第６区","立憲民主党","にしかわ　将人","4222"
"北海道第６区","北海道","名寄市","第６区","立憲民主党","にしかわ　将人","5355"
"北海道第６区","北海道","富良野市","第６区","立憲民主党","にしかわ　将人","3930"
"北海道第６区","北海道","鷹栖町","第６区","立憲民主党","にしかわ　将人","1564"
"北海道第６区","北海道","東神楽町","第６区","立憲民主党","にしかわ　将人","2233"
"北海道第６区","北海道","当麻町","第６区","立憲民主党","にしかわ　将人","1306"
"北海道第６区","北海道","比布町","第６区","立憲民主党","にしかわ　将人","887"
"北海道第６区","北海道","愛別町","第６区","立憲民主党","にしかわ　将人","613"
"北海道第６区","北海道","上川町","第６区","立憲民主党","にしかわ　将人","991"
"北海道第６区","北海道","東川町","第６区","立憲民主党","にしかわ　将人","1734"
"北海道第６区","北海道","美瑛町","第６区","立憲民主党","にしかわ　将人","2233"
"北海道第６区","北海道","上富良野町","第６区","立憲民主党","にしかわ　将人","1556"
"北海道第６区","北海道","中富良野町","第６区","立憲民主党","にしかわ　将人","925"
"北海道第６区","北海道","南富良野町","第６区","立憲民主党","にしかわ　将人","576"
"北海道第６区","北海道","占冠村","第６区","立憲民主党","にしかわ　将人","358"
"北海道第６区","北海道","和寒町","第６区","立憲民主党","にしかわ　将人","760"
"北海道第６区","北海道","剣淵町","第６区","立憲民主党","にしかわ　将人","800"
"北海道第６区","北海道","下川町","第６区","立憲民主党","にしかわ　将人","779"
"北海道第６区","北海道","美深町","第６区","立憲民主党","にしかわ　将人","947"
"北海道第６区","北海道","音威子府村","第６区","立憲民主党","にしかわ　将人","241"
"北海道第６区","北海道","中川町","第６区","立憲民主党","にしかわ　将人","357"
"北海道第６区","北海道","幌加内町","第６区","立憲民主党","にしかわ　将人","253"
"北海道第６区","北海道","旭川市","第６区","自由民主党","東　くによし","64196"
"北海道第６区","北海道","士別市","第６区","自由民主党","東　くによし","4152"
"北海道第６区","北海道","名寄市","第６区","自由民主党","東　くによし","6689"
"北海道第６区","北海道","富良野市","第６区","自由民主党","東　くによし","4739"
"北海道第６区","北海道","鷹栖町","第６区","自由民主党","東　くによし","1446"
"北海道第６区","北海道","東神楽町","第６区","自由民主党","東　くによし","1871"
"北海道第６区","北海道","当麻町","第６区","自由民主党","東　くによし","1343"
"北海道第６区","北海道","比布町","第６区","自由民主党","東　くによし","831"
"北海道第６区","北海道","愛別町","第６区","自由民主党","東　くによし","731"
"北海道第６区","北海道","上川町","第６区","自由民主党","東　くによし","697"
"北海道第６区","北海道","東川町","第６区","自由民主党","東　くによし","1839"
"北海道第６区","北海道","美瑛町","第６区","自由民主党","東　くによし","2306"
"北海道第６区","北海道","上富良野町","第６区","自由民主党","東　くによし","2993"
"北海道第６区","北海道","中富良野町","第６区","自由民主党","東　くによし","1373"
"北海道第６区","北海道","南富良野町","第６区","自由民主党","東　くによし","656"
"北海道第６区","北海道","占冠村","第６区","自由民主党","東　くによし","232"
"北海道第６区","北海道","和寒町","第６区","自由民主党","東　くによし","926"
"北海道第６区","北海道","剣淵町","第６区","自由民主党","東　くによし","719"
"北海道第６区","北海道","下川町","第６区","自由民主党","東　くによし","820"
"北海道第６区","北海道","美深町","第６区","自由民主党","東　くによし","1067"
"北海道第６区","北海道","音威子府村","第６区","自由民主党","東　くによし","130"
"北海道第６区","北海道","中川町","第６区","自由民主党","東　くによし","442"
"北海道第６区","北海道","幌加内町","第６区","自由民主党","東　くによし","496"
"北海道第７区","北海道","釧路市","第７区","立憲民主党","しのだ　奈保子","32851"
"北海道第７区","北海道","根室市","第７区","立憲民主党","しのだ　奈保子","3228"
"北海道第７区","北海道","釧路町","第７区","立憲民主党","しのだ　奈保子","3522"
"北海道第７区","北海道","厚岸町","第７区","立憲民主党","しのだ　奈保子","1395"
"北海道第７区","北海道","浜中町","第７区","立憲民主党","しのだ　奈保子","871"
"北海道第７区","北海道","標茶町","第７区","立憲民主党","しのだ　奈保子","1759"
"北海道第７区","北海道","弟子屈町","第７区","立憲民主党","しのだ　奈保子","1500"
"北海道第７区","北海道","鶴居村","第７区","立憲民主党","しのだ　奈保子","570"
"北海道第７区","北海道","白糠町","第７区","立憲民主党","しのだ　奈保子","1437"
"北海道第７区","北海道","別海町","第７区","立憲民主党","しのだ　奈保子","2137"
"北海道第７区","北海道","中標津町","第７区","立憲民主党","しのだ　奈保子","3985"
"北海道第７区","北海道","標津町","第７区","立憲民主党","しのだ　奈保子","948"
"北海道第７区","北海道","羅臼町","第７区","立憲民主党","しのだ　奈保子","685"
"北海道第７区","北海道","釧路市","第７区","自由民主党","鈴木　たかこ","40669"
"北海道第７区","北海道","根室市","第７区","自由民主党","鈴木　たかこ","6557"
"北海道第７区","北海道","釧路町","第７区","自由民主党","鈴木　たかこ","4621"
"北海道第７区","北海道","厚岸町","第７区","自由民主党","鈴木　たかこ","2812"
"北海道第７区","北海道","浜中町","第７区","自由民主党","鈴木　たかこ","2192"
"北海道第７区","北海道","標茶町","第７区","自由民主党","鈴木　たかこ","1965"
"北海道第７区","北海道","弟子屈町","第７区","自由民主党","鈴木　たかこ","2183"
"北海道第７区","北海道","鶴居村","第７区","自由民主党","鈴木　たかこ","795"
"北海道第７区","北海道","白糠町","第７区","自由民主党","鈴木　たかこ","2203"
"北海道第７区","北海道","別海町","第７区","自由民主党","鈴木　たかこ","4604"
"北海道第７区","北海道","中標津町","第７区","自由民主党","鈴木　たかこ","5591"
"北海道第７区","北海道","標津町","第７区","自由民主党","鈴木　たかこ","1578"
"北海道第７区","北海道","羅臼町","第７区","自由民主党","鈴木　たかこ","1419"
"北海道第８区","北海道","函館市","第８区","立憲民主党","おおさか　誠二","58185"
"北海道第８区","北海道","北斗市","第８区","立憲民主党","おおさか　誠二","10125"
"北海道第８区","北海道","松前町","第８区","立憲民主党","おおさか　誠二","1722"
"北海道第８区","北海道","福島町","第８区","立憲民主党","おおさか　誠二","931"
"北海道第８区","北海道","知内町","第８区","立憲民主党","おおさか　誠二","949"
"北海道第８区","北海道","木古内町","第８区","立憲民主党","おおさか　誠二","999"
"北海道第８区","北海道","七飯町","第８区","立憲民主党","おおさか　誠二","7165"
"北海道第８区","北海道","鹿部町","第８区","立憲民主党","おおさか　誠二","825"
"北海道第８区","北海道","森町","第８区","立憲民主党","おおさか　誠二","3242"
"北海道第８区","北海道","八雲町","第８区","立憲民主党","おおさか　誠二","4130"
"北海道第８区","北海道","長万部町","第８区","立憲民主党","おおさか　誠二","1380"
"北海道第８区","北海道","江差町","第８区","立憲民主党","おおさか　誠二","1647"
"北海道第８区","北海道","上ノ国町","第８区","立憲民主党","おおさか　誠二","891"
"北海道第８区","北海道","厚沢部町","第８区","立憲民主党","おおさか　誠二","904"
"北海道第８区","北海道","乙部町","第８区","立憲民主党","おおさか　誠二","650"
"北海道第８区","北海道","奥尻町","第８区","立憲民主党","おおさか　誠二","566"
"北海道第８区","北海道","今金町","第８区","立憲民主党","おおさか　誠二","1417"
"北海道第８区","北海道","せたな町","第８区","立憲民主党","おおさか　誠二","2030"
"北海道第８区","北海道","函館市","第８区","日本共産党","本間　かつみ","7781"
"北海道第８区","北海道","北斗市","第８区","日本共産党","本間　かつみ","1038"
"北海道第８区","北海道","松前町","第８区","日本共産党","本間　かつみ","116"
"北海道第８区","北海道","福島町","第８区","日本共産党","本間　かつみ","71"
"北海道第８区","北海道","知内町","第８区","日本共産党","本間　かつみ","61"
"北海道第８区","北海道","木古内町","第８区","日本共産党","本間　かつみ","72"
"北海道第８区","北海道","七飯町","第８区","日本共産党","本間　かつみ","701"
"北海道第８区","北海道","鹿部町","第８区","日本共産党","本間　かつみ","64"
"北海道第８区","北海道","森町","第８区","日本共産党","本間　かつみ","402"
"北海道第８区","北海道","八雲町","第８区","日本共産党","本間　かつみ","294"
"北海道第８区","北海道","長万部町","第８区","日本共産党","本間　かつみ","94"
"北海道第８区","北海道","江差町","第８区","日本共産党","本間　かつみ","249"
"北海道第８区","北海道","上ノ国町","第８区","日本共産党","本間　かつみ","139"
"北海道第８区","北海道","厚沢部町","第８区","日本共産党","本間　かつみ","98"
"北海道第８区","北海道","乙部町","第８区","日本共産党","本間　かつみ","181"
"北海道第８区","北海道","奥尻町","第８区","日本共産党","本間　かつみ","66"
"北海道第８区","北海道","今金町","第８区","日本共産党","本間　かつみ","83"
"北海道第８区","北海道","せたな町","第８区","日本共産党","本間　かつみ","198"
"北海道第８区","北海道","函館市","第８区","自由民主党","向山　じゅん","48027"
"北海道第８区","北海道","北斗市","第８区","自由民主党","向山　じゅん","8398"
"北海道第８区","北海道","松前町","第８区","自由民主党","向山　じゅん","1581"
"北海道第８区","北海道","福島町","第８区","自由民主党","向山　じゅん","911"
"北海道第８区","北海道","知内町","第８区","自由民主党","向山　じゅん","1108"
"北海道第８区","北海道","木古内町","第８区","自由民主党","向山　じゅん","986"
"北海道第８区","北海道","七飯町","第８区","自由民主党","向山　じゅん","5319"
"北海道第８区","北海道","鹿部町","第８区","自由民主党","向山　じゅん","819"
"北海道第８区","北海道","森町","第８区","自由民主党","向山　じゅん","2811"
"北海道第８区","北海道","八雲町","第８区","自由民主党","向山　じゅん","2851"
"北海道第８区","北海道","長万部町","第８区","自由民主党","向山　じゅん","1014"
"北海道第８区","北海道","江差町","第８区","自由民主党","向山　じゅん","1695"
"北海道第８区","北海道","上ノ国町","第８区","自由民主党","向山　じゅん","1249"
"北海道第８区","北海道","厚沢部町","第８区","自由民主党","向山　じゅん","1049"
"北海道第８区","北海道","乙部町","第８区","自由民主党","向山　じゅん","1077"
"北海道第８区","北海道","奥尻町","第８区","自由民主党","向山　じゅん","815"
"北海道第８区","北海道","今金町","第８区","自由民主党","向山　じゅん","1215"
"北海道第８区","北海道","せたな町","第８区","自由民主党","向山　じゅん","2081"
"北海道第９区","北海道","室蘭市","第９区","日本共産党","たつの　広志","3144"
"北海道第９区","北海道","苫小牧市","第９区","日本共産党","たつの　広志","8074"
"北海道第９区","北海道","登別市","第９区","日本共産党","たつの　広志","1635"
"北海道第９区","北海道","伊達市","第９区","日本共産党","たつの　広志","1725"
"北海道第９区","北海道","豊浦町","第９区","日本共産党","たつの　広志","305"
"北海道第９区","北海道","壮瞥町","第９区","日本共産党","たつの　広志","140"
"北海道第９区","北海道","白老町","第９区","日本共産党","たつの　広志","740"
"北海道第９区","北海道","厚真町","第９区","日本共産党","たつの　広志","233"
"北海道第９区","北海道","洞爺湖町","第９区","日本共産党","たつの　広志","1206"
"北海道第９区","北海道","安平町","第９区","日本共産党","たつの　広志","388"
"北海道第９区","北海道","むかわ町","第９区","日本共産党","たつの　広志","416"
"北海道第９区","北海道","日高町","第９区","日本共産党","たつの　広志","501"
"北海道第９区","北海道","平取町","第９区","日本共産党","たつの　広志","202"
"北海道第９区","北海道","新冠町","第９区","日本共産党","たつの　広志","216"
"北海道第９区","北海道","浦河町","第９区","日本共産党","たつの　広志","495"
"北海道第９区","北海道","様似町","第９区","日本共産党","たつの　広志","148"
"北海道第９区","北海道","えりも町","第９区","日本共産党","たつの　広志","145"
"北海道第９区","北海道","新ひだか町","第９区","日本共産党","たつの　広志","844"
"北海道第９区","北海道","室蘭市","第９区","自由民主党","松下　ひでき","10014"
"北海道第９区","北海道","苫小牧市","第９区","自由民主党","松下　ひでき","22322"
"北海道第９区","北海道","登別市","第９区","自由民主党","松下　ひでき","5742"
"北海道第９区","北海道","伊達市","第９区","自由民主党","松下　ひでき","4553"
"北海道第９区","北海道","豊浦町","第９区","自由民主党","松下　ひでき","750"
"北海道第９区","北海道","壮瞥町","第９区","自由民主党","松下　ひでき","453"
"北海道第９区","北海道","白老町","第９区","自由民主党","松下　ひでき","2658"
"北海道第９区","北海道","厚真町","第９区","自由民主党","松下　ひでき","659"
"北海道第９区","北海道","洞爺湖町","第９区","自由民主党","松下　ひでき","1269"
"北海道第９区","北海道","安平町","第９区","自由民主党","松下　ひでき","1312"
"北海道第９区","北海道","むかわ町","第９区","自由民主党","松下　ひでき","1356"
"北海道第９区","北海道","日高町","第９区","自由民主党","松下　ひでき","1944"
"北海道第９区","北海道","平取町","第９区","自由民主党","松下　ひでき","843"
"北海道第９区","北海道","新冠町","第９区","自由民主党","松下　ひでき","972"
"北海道第９区","北海道","浦河町","第９区","自由民主党","松下　ひでき","2162"
"北海道第９区","北海道","様似町","第９区","自由民主党","松下　ひでき","833"
"北海道第９区","北海道","えりも町","第９区","自由民主党","松下　ひでき","915"
"北海道第９区","北海道","新ひだか町","第９区","自由民主党","松下　ひでき","3571"
"北海道第９区","北海道","室蘭市","第９区","立憲民主党","山岡　達丸","21070"
"北海道第９区","北海道","苫小牧市","第９区","立憲民主党","山岡　達丸","37422"
"北海道第９区","北海道","登別市","第９区","立憲民主党","山岡　達丸","11483"
"北海道第９区","北海道","伊達市","第９区","立憲民主党","山岡　達丸","8059"
